model,evaluated_users,precision_at_10,recall_at_10,map_at_10,ndcg_at_10,catalog_coverage_at_10,unique_recommended_items,avg_distinct_genres_at_10,long_tail_share_at_10,intra_list_diversity_at_10,gini_index_at_10,seed,weight_name,weight_bpr,weight_als,weight_itemknn,weight_content,weight_popularity,weight_novelty
content_safety,6035,0.0061474730737365365,0.06147473073736537,0.02050242632264174,0.029966042802606136,0.2516095802214782,977,7.888649544324772,0.015526097763048882,0.470427339316007,0.9774202805721027,11,content_safety,0.2,0.2,0.15,0.25,0.05,0.15
balanced_retrieval,6035,0.006097763048881525,0.06097763048881524,0.01911560868478847,0.028765930419387273,0.163018284831316,633,9.83844241922121,0.007125103562551781,0.6496706589550248,0.9892640599166037,11,balanced_retrieval,0.3,0.25,0.2,0.1,0.1,0.05
coverage_aware,6035,0.005915492957746479,0.059154929577464786,0.01951453820965006,0.028686529847969378,0.22225083698171516,863,8.987241093620547,0.01612261806130903,0.571354221270513,0.9836258958974187,11,coverage_aware,0.25,0.2,0.15,0.15,0.05,0.2
behavior_heavy,6035,0.0056006628003314,0.056006628003314005,0.016508462539945565,0.02557506825456679,0.20267834148853978,787,10.114001657000829,0.013421706710853356,0.6798416474780072,0.9901517224722043,11,behavior_heavy,0.4,0.3,0.15,0.05,0.05,0.05
content_safety,6035,0.006346313173156586,0.06346313173156587,0.020943569916229424,0.03072325241182823,0.21916044295647696,851,7.853355426677713,0.011068765534382767,0.46483653373923695,0.9785879391420252,42,content_safety,0.2,0.2,0.15,0.25,0.05,0.15
balanced_retrieval,6035,0.00628003314001657,0.0628003314001657,0.01912810194500336,0.029134285552927578,0.12310069533865568,478,9.886661143330572,0.00424192212096106,0.6490659020513962,0.9900873627336119,42,balanced_retrieval,0.3,0.25,0.2,0.1,0.1,0.05
coverage_aware,6035,0.006213753106876553,0.06213753106876554,0.020486316592364665,0.030076758140113614,0.1903167653875869,739,8.990389395194697,0.011184755592377795,0.5669182727726018,0.9846857448641189,42,coverage_aware,0.25,0.2,0.15,0.15,0.05,0.2
behavior_heavy,6035,0.005716652858326429,0.05716652858326429,0.017082297707815535,0.026288147168336055,0.14524851918619625,564,10.187075393537697,0.008566694283347142,0.6763748849040729,0.991656038547566,42,behavior_heavy,0.4,0.3,0.15,0.05,0.05,0.05
content_safety,6035,0.006379453189726595,0.06379453189726594,0.02077589721334543,0.03068463524044819,0.23873293844965232,927,7.826014913007456,0.013024026512013256,0.4629965782066762,0.9775256663368739,73,content_safety,0.2,0.2,0.15,0.25,0.05,0.15
balanced_retrieval,6035,0.006296603148301574,0.06296603148301574,0.0194483896845123,0.029434399186595142,0.13958279680659283,542,9.732891466445734,0.004772162386081193,0.6447388108051209,0.9896130755842869,73,balanced_retrieval,0.3,0.25,0.2,0.1,0.1,0.05
coverage_aware,6035,0.0060149130074565035,0.06014913007456504,0.019938191238936896,0.0292157808600003,0.2145248519186196,833,8.91516155758078,0.014217067108533554,0.5635961644197162,0.9836701906916495,73,coverage_aware,0.25,0.2,0.15,0.15,0.05,0.2
behavior_heavy,6035,0.005666942833471416,0.05666942833471417,0.017093344380005534,0.02612838737248101,0.17975791913468966,698,9.946313173156586,0.011052195526097763,0.6724067243249731,0.990656017424326,73,behavior_heavy,0.4,0.3,0.15,0.05,0.05,0.05
