model,evaluated_users,precision_at_10,recall_at_10,map_at_10,ndcg_at_10,catalog_coverage_at_10,unique_recommended_items,avg_distinct_genres_at_10,long_tail_share_at_10,intra_list_diversity_at_10,gini_index_at_10,seed
popularity,6035,0.003993371996685998,0.03993371996685998,0.01260990781289043,0.01883400374377098,0.029616276075199587,115,9.550952775476388,0.0,0.6707611722796044,0.9949205819516637,11
content_based,6035,0.001491300745650373,0.014913007456503728,0.004151510369405977,0.006618151153480303,0.724697398918362,2814,3.7474730737365367,0.7411599005799503,0.09259037748287804,0.8530706000557738,11
itemknn,6035,0.00579950289975145,0.0579950289975145,0.019868886521744872,0.028675650971708443,0.09013649240278135,350,10.183098591549296,0.0009444904722452362,0.6873836960887356,0.9871526235170792,11
bpr_matrix_factorization,6035,0.004092792046396023,0.04092792046396023,0.012019568390736592,0.018625150165518318,0.22353850115889776,868,10.110024855012428,0.015310687655343828,0.6875498656211259,0.9910387022564101,11
implicit_als,6035,0.00014913007456503728,0.001491300745650373,0.0005072263647242935,0.0007373226694352011,0.18078805047643576,702,6.993703396851698,0.9995360397680199,0.7358908305705433,0.972335110174766,11
hybrid_score_blend,6035,0.005782932891466446,0.057829328914664455,0.019184058599965803,0.028043851428392896,0.24362606232294617,946,7.8848384424192215,0.01595691797845899,0.4699285431054375,0.9775833263811559,11
two_stage_hybrid_ranker,6035,0.00579950289975145,0.0579950289975145,0.019208716350389916,0.028099914184078135,0.2516095802214782,977,7.888649544324772,0.015526097763048882,0.470427339316007,0.9774202805721027,11
popularity,6035,0.003993371996685998,0.03993371996685998,0.01260990781289043,0.01883400374377098,0.029616276075199587,115,9.550952775476388,0.0,0.6707611722796044,0.9949205819516637,42
content_based,6035,0.001491300745650373,0.014913007456503728,0.004151510369405977,0.006618151153480303,0.724697398918362,2814,3.7474730737365367,0.7411599005799503,0.09259037748287804,0.8530706000557738,42
itemknn,6035,0.00579950289975145,0.0579950289975145,0.019868886521744872,0.028675650971708443,0.09013649240278135,350,10.183098591549296,0.0009444904722452362,0.6873836960887356,0.9871526235170792,42
bpr_matrix_factorization,6035,0.0037945318972659485,0.037945318972659486,0.011806459673071125,0.01777426398025376,0.1702292042235385,661,10.377630488815244,0.009809444904722452,0.6785754977027147,0.9926817489445314,42
implicit_als,6035,0.00018227009113504556,0.0018227009113504556,0.0003875540826659302,0.0007141369153781807,0.22740149369044554,883,7.35874067937034,0.999917149958575,0.7007638222142103,0.9605243513618409,42
hybrid_score_blend,6035,0.005782932891466446,0.057829328914664455,0.01903644086742677,0.027936164064178683,0.21478238475405614,834,7.850538525269263,0.011532725766362883,0.46442898086209683,0.9786206012186189,42
two_stage_hybrid_ranker,6035,0.005782932891466446,0.057829328914664455,0.01904590944358963,0.0279450322454382,0.21916044295647696,851,7.853355426677713,0.011068765534382767,0.46483653373923695,0.9785879391420252,42
popularity,6035,0.003993371996685998,0.03993371996685998,0.01260990781289043,0.01883400374377098,0.029616276075199587,115,9.550952775476388,0.0,0.6707611722796044,0.9949205819516637,73
content_based,6035,0.001491300745650373,0.014913007456503728,0.004151510369405977,0.006618151153480303,0.724697398918362,2814,3.7474730737365367,0.7411599005799503,0.09259037748287804,0.8530706000557738,73
itemknn,6035,0.00579950289975145,0.0579950289975145,0.019868886521744872,0.028675650971708443,0.09013649240278135,350,10.183098591549296,0.0009444904722452362,0.6873836960887356,0.9871526235170792,73
bpr_matrix_factorization,6035,0.0037779618889809447,0.03777961888980944,0.010592114780184396,0.01682339879441337,0.2145248519186196,833,9.621209610604806,0.013438276719138359,0.6683729720688498,0.9913758035632559,73
implicit_als,6035,0.00029826014913007456,0.002982601491300746,0.0007206638523954182,0.001233382589178249,0.17537986093226887,681,8.721126760563381,0.999884009942005,0.8191446442098388,0.9752033645267402,73
hybrid_score_blend,6035,0.005915492957746479,0.059154929577464786,0.01979570231848608,0.02879184299730846,0.23641514293072366,918,7.823363711681856,0.013670256835128418,0.46249035750920847,0.977525845564365,73
two_stage_hybrid_ranker,6035,0.005932062966031483,0.05932062966031483,0.01981227232677108,0.02883974106297837,0.23873293844965232,927,7.826014913007456,0.013024026512013256,0.4629965782066762,0.9775256663368739,73
